WORK_FACTOR,SALT,HASH,TIME
4,2edaa41f38e4759c2a82487f061fb14a,f20babf0fda572aee4e21dca60c214d107f09331d4223c1a,16
5,6df6791a9b0df76bc1ecf839055a0dd3,c6ecb617454a40096aed0a40a8e2d48ebf9a4d396fa73cb9,16
6,f57f149f6d4cae6c8e85eb7ce0a46af1,42e94921e6f318a5f0838f56f18096777126eb416a5a342a,15
7,ef9d4058a7f939921022c373e1756656,15bda7086623155aa6bacdbf5c9eb6ab9d84e6aeaffbc380,24
8,35d30ea5bd906274d73cbfb03e2aea78,ccca0fc1121601afccf82eb692df0a3ad463eb84b209fe26,35
9,b0bed785ddf28ae4df182f59aafc5b28,826d712da8341774662b9b41ff187dca4977d2caf4339252,64
10,5fce1b7ee4e9dec5f804b3d66c7dd5ec,0cab235607bc645a74ec51e416ee6fa53415dcfce80517e4,123
11,891edcbe3bd8e4b390ed2bc178dec938,de67bed4da1f44daca56b47eeffaaf38e25bdffa530d2f07,248
12,02c890e3ebf346ae8db3cce76cc30284,baa9eb2a4bd58334e706dbccd0064d297e29108cb2ae7230,470
13,bb1204b995c01a3fd2ba4bfd6ee881a2,48952750d669a3e513dbd1f8e6767b63dd09d26ce64e4c6a,912
14,817d31b8a003876b81840bb9b2fa587b,4fb5a1b1e34cd35196aaf5f293d6112aff60e0090038df64,1854
15,638cc7a391916f6975547f6de39b0f0f,94dc91996e4154ac4f7c2593aaea810183e18e4992a59108,3696
16,eda20a077df850c8eab609a761a06cb0,d43ebde0351eb6bc43066e3be75bf350cddf1b48db1bbf62,7296
17,026b76bcdcb9b5b8897b650c17caf5b4,d524ee4b11ed9119a6e217fc1768c5d1506e84db518ebaf5,14592
18,1ddc357c04c93c390128d103afcaefce,56a211266cae7cd91e7805d200b2d57bbffe8b24e8346127,29179
19,c45991893815a80c4d5aa0d8419aaad6,c05cef05da45472acc3f9d24abe68ebb6b1f49c90b995193,58407
20,fb39dd4fa8d37ae2262d5a5e75be4869,81c979b82d6b325c4a766958fff1f1106fb50f7cd0d1e5a0,116770
21,aa2a519f31c1be2ada2e9a69be745613,1ed1cf24c819eee4c3945c875513287c9f0592d770c0397c,233538
