Work Factor,Time
0,0.3333333333333333
1,0.3333333333333333
2,1.0
3,0.3333333333333333
4,1.0
5,1.0
6,1.6666666666666667
7,2.3333333333333335
8,4.666666666666667
9,9.666666666666666
10,14.333333333333334
11,25.666666666666668
12,60.666666666666664
13,107.0
14,203.0
15,363.6666666666667
16,689.6666666666666
17,1360.6666666666667
18,2516.3333333333335
19,2516.6666666666665
20,3373.0
21,6319.333333333333
22,12540.666666666666
23,25363.333333333332
24,55227.666666666664
25,120625.66666666667
26,264222.6666666667
