Number of Iterations,Memory Limit,Time
4,10240KiB,207.75
5,10240KiB,76.0
6,10240KiB,96.0
7,10240KiB,103.75
8,10240KiB,117.0
9,10240KiB,130.5
10,10240KiB,144.5
11,10240KiB,155.25
12,10240KiB,167.75
13,10240KiB,181.0
14,10240KiB,192.25
15,10240KiB,212.5
16,10240KiB,227.5
17,10240KiB,234.0
18,10240KiB,247.0
19,10240KiB,266.75
20,10240KiB,278.0
21,10240KiB,285.0
22,10240KiB,300.5
23,10240KiB,318.25
24,10240KiB,332.0
25,10240KiB,339.25
26,10240KiB,352.25
27,10240KiB,369.25
28,10240KiB,378.75
29,10240KiB,393.0
30,10240KiB,407.25
4,20480KiB,116.25
5,20480KiB,149.0
6,20480KiB,171.75
7,20480KiB,199.5
8,20480KiB,226.5
9,20480KiB,256.75
10,20480KiB,290.25
11,20480KiB,317.75
12,20480KiB,350.75
13,20480KiB,374.5
14,20480KiB,402.5
15,20480KiB,429.5
16,20480KiB,454.75
17,20480KiB,485.5
18,20480KiB,509.0
19,20480KiB,541.75
20,20480KiB,566.0
21,20480KiB,604.75
22,20480KiB,630.25
23,20480KiB,663.0
24,20480KiB,686.0
25,20480KiB,763.0
26,20480KiB,744.0
27,20480KiB,766.0
28,20480KiB,800.0
29,20480KiB,823.5
30,20480KiB,849.5
4,30720KiB,178.25
5,30720KiB,225.25
6,30720KiB,273.25
7,30720KiB,316.75
8,30720KiB,352.5
9,30720KiB,429.5
10,30720KiB,456.25
11,30720KiB,486.0
12,30720KiB,530.75
13,30720KiB,575.75
14,30720KiB,617.25
15,30720KiB,666.75
16,30720KiB,700.0
17,30720KiB,739.25
18,30720KiB,794.75
19,30720KiB,831.75
20,30720KiB,866.0
21,30720KiB,908.75
22,30720KiB,951.5
23,30720KiB,1005.75
24,30720KiB,1058.75
25,30720KiB,1115.75
26,30720KiB,1179.0
27,30720KiB,1201.25
28,30720KiB,1271.5
29,30720KiB,1278.25
30,30720KiB,1310.75
4,40960KiB,260.75
5,40960KiB,303.0
6,40960KiB,370.0
7,40960KiB,449.0
8,40960KiB,491.5
9,40960KiB,551.75
10,40960KiB,617.0
11,40960KiB,658.0
12,40960KiB,717.5
13,40960KiB,778.75
14,40960KiB,828.5
15,40960KiB,889.25
16,40960KiB,954.5
17,40960KiB,1028.25
18,40960KiB,1083.25
19,40960KiB,1158.75
20,40960KiB,1203.5
21,40960KiB,1249.75
22,40960KiB,1337.75
23,40960KiB,1402.0
24,40960KiB,1423.25
25,40960KiB,1505.5
26,40960KiB,1563.25
27,40960KiB,1644.5
28,40960KiB,1703.0
29,40960KiB,1713.75
30,40960KiB,1811.25
4,51200KiB,180.75
5,51200KiB,224.75
6,51200KiB,272.75
7,51200KiB,313.5
8,51200KiB,360.5
9,51200KiB,401.25
10,51200KiB,451.0
11,51200KiB,493.75
12,51200KiB,533.0
13,51200KiB,579.25
14,51200KiB,628.5
15,51200KiB,671.0
16,51200KiB,722.75
17,51200KiB,774.0
18,51200KiB,811.75
19,51200KiB,854.5
20,51200KiB,894.75
21,51200KiB,949.75
22,51200KiB,1001.5
23,51200KiB,1074.25
24,51200KiB,1120.0
25,51200KiB,1129.75
26,51200KiB,1171.5
27,51200KiB,1225.5
28,51200KiB,1255.25
29,51200KiB,1302.0
30,51200KiB,1336.5
